Running job with parameters:
  Data path:          /home/htc/yliu/EntanglementDetection/results/shortcut
  Number of qubtis:   10
  Visibility:         0.3
Initializing the state ...
Converting ...
Beginning the computation ...
   Iteration        Primal    Dual gap    Time (sec)      #It/sec     #Atoms      #LMOs
          70    2.9003e+01    1.8724e+01    1.3111e+04    5.3390e-03        40         45
          72    2.8828e+01    1.8724e+01    1.3454e+04    5.3514e-03        41         47
          74    2.8674e+01    1.8724e+01    1.3760e+04    5.3778e-03        42         47
          76    2.8515e+01    1.8724e+01    1.4122e+04    5.3816e-03        43         49
          78    2.8289e+01    1.8724e+01    1.4791e+04    5.2735e-03        45         50
          80    2.8159e+01    1.8724e+01    1.5125e+04    5.2893e-03        46         51
          82    2.8027e+01    1.8724e+01    1.5455e+04    5.3057e-03        47         53
          84    2.7856e+01    1.8724e+01    1.6105e+04    5.2158e-03        49         54
          86    2.7804e+01    1.8724e+01    1.6105e+04    5.3400e-03        49         55
          88    2.7559e+01    1.8724e+01    1.6761e+04    5.2503e-03        51         57
          90    2.7385e+01    1.8724e+01    1.7423e+04    5.1655e-03        53         59
          92    2.7248e+01    1.8724e+01    1.8090e+04    5.0856e-03        55         61
          94    2.7139e+01    1.8724e+01    1.8676e+04    5.0333e-03        57         62
          96    2.7089e+01    1.8724e+01    1.8676e+04    5.1404e-03        57         63
          98    2.6975e+01    1.8724e+01    1.9319e+04    5.0728e-03        59         65
         100    2.6905e+01    1.8724e+01    1.9655e+04    5.0876e-03        60         65
         102    2.6827e+01    1.8724e+01    1.9987e+04    5.1034e-03        61         67
         104    2.6733e+01    9.3336e+00    2.0638e+04    5.0393e-03        63         69
         106    2.6713e+01    9.3336e+00    2.0969e+04    5.0551e-03        63         69
         108    2.6642e+01    9.3336e+00    2.1324e+04    5.0646e-03        64         70
         110    2.6625e+01    9.3336e+00    2.1324e+04    5.1584e-03        64         71
         112    2.6522e+01    9.3336e+00    2.1987e+04    5.0940e-03        66         72
         114    2.6505e+01    9.3336e+00    2.1987e+04    5.1849e-03        66         73
         116    2.6408e+01    9.3336e+00    2.2653e+04    5.1208e-03        68         74
         118    2.6392e+01    9.3336e+00    2.2653e+04    5.2091e-03        68         75
         120    2.6299e+01    9.3336e+00    2.3345e+04    5.1403e-03        70         76
         122    2.6284e+01    9.3336e+00    2.3345e+04    5.2260e-03        70         77
         124    2.6196e+01    9.3336e+00    2.3932e+04    5.1813e-03        72         78
         126    2.6182e+01    9.3336e+00    2.3932e+04    5.2648e-03        72         79
         128    2.6098e+01    9.3336e+00    2.4546e+04    5.2147e-03        74         80
         130    2.6084e+01    9.3336e+00    2.4546e+04    5.2962e-03        74         81
         132    2.6004e+01    9.3336e+00    2.5155e+04    5.2475e-03        76         82
         134    2.5991e+01    9.3336e+00    2.5155e+04    5.3270e-03        76         83
         136    2.5915e+01    9.3336e+00    2.5810e+04    5.2693e-03        78         84
         138    2.5902e+01    9.3336e+00    2.5810e+04    5.3468e-03        78         85
         140    2.5830e+01    9.3336e+00    2.6486e+04    5.2857e-03        80         86
         142    2.5817e+01    9.3336e+00    2.6487e+04    5.3612e-03        80         87
         144    2.5748e+01    9.3336e+00    2.7117e+04    5.3103e-03        82         88
         146    2.5736e+01    9.3336e+00    2.7117e+04    5.3840e-03        82         89
         148    2.5670e+01    9.3336e+00    2.7776e+04    5.3284e-03        84         90
         150    2.5659e+01    9.3336e+00    2.7776e+04    5.4004e-03        84         91
         152    2.5596e+01    9.3336e+00    2.8388e+04    5.3544e-03        86         92
         154    2.5585e+01    9.3336e+00    2.8388e+04    5.4248e-03        86         93
         156    2.5524e+01    9.3336e+00    2.8955e+04    5.3878e-03        88         95
         158    2.5490e+01    9.3336e+00    2.9212e+04    5.4087e-03        89         95
         160    2.5454e+01    9.3336e+00    2.9518e+04    5.4205e-03        90         97
         162    2.5422e+01    9.3336e+00    2.9840e+04    5.4290e-03        91         97
         164    2.5387e+01    9.3336e+00    3.0184e+04    5.4333e-03        92         99
         166    2.5339e+01    9.3336e+00    3.0784e+04    5.3924e-03        94        100
         168    2.5323e+01    9.3336e+00    3.0784e+04    5.4573e-03        94        101
         170    2.5229e+01    9.3336e+00    3.1479e+04    5.4005e-03        96        103
         172    2.5179e+01    9.3336e+00    3.2101e+04    5.3581e-03        98        105
         174    2.5139e+01    9.3336e+00    3.2732e+04    5.3159e-03       100        107
         176    2.5116e+01    9.3336e+00    3.3074e+04    5.3213e-03       101        107
         178    2.5091e+01    9.3336e+00    3.3399e+04    5.3295e-03       102        109
         180    2.5057e+01    9.3336e+00    3.4003e+04    5.2936e-03       104        110
         182    2.5045e+01    9.3336e+00    3.4003e+04    5.3524e-03       104        111
         184    2.5010e+01    9.3336e+00    3.4650e+04    5.3102e-03       106        113
         186    2.4989e+01    9.3336e+00    3.4992e+04    5.3155e-03       107        113
         188    2.4965e+01    9.3336e+00    3.5267e+04    5.3308e-03       108        115
         190    2.4935e+01    9.3336e+00    3.5869e+04    5.2970e-03       110        116
         192    2.4923e+01    9.3336e+00    3.5869e+04    5.3528e-03       110        117
         194    2.4892e+01    9.3336e+00    3.6484e+04    5.3174e-03       112        119
         196    2.4872e+01    9.3336e+00    3.6828e+04    5.3220e-03       113        119
         198    2.4851e+01    9.3336e+00    3.7168e+04    5.3271e-03       114        121
         200    2.4823e+01    9.3336e+00    3.7813e+04    5.2892e-03       116        122
         202    2.4812e+01    9.3336e+00    3.7813e+04    5.3420e-03       116        123
         204    2.4783e+01    9.3336e+00    3.8423e+04    5.3093e-03       118        125
         206    2.4759e+01    9.3336e+00    3.9069e+04    5.2727e-03       120        126
         208    2.4745e+01    9.3336e+00    3.9069e+04    5.3239e-03       120        127
         210    2.4719e+01    9.3336e+00    3.9723e+04    5.2866e-03       122        129
         212    2.4701e+01    9.3336e+00    4.0066e+04    5.2912e-03       123        129
         214    2.4682e+01    9.3336e+00    4.0400e+04    5.2970e-03       124        131
         216    2.4659e+01    9.3336e+00    4.1054e+04    5.2613e-03       126        133
         218    2.4642e+01    9.3336e+00    4.1325e+04    5.2753e-03       127        133
         220    2.4622e+01    9.3336e+00    4.1645e+04    5.2828e-03       128        135
         222    2.4601e+01    9.3336e+00    4.2358e+04    5.2410e-03       130        136
         224    2.4590e+01    9.3336e+00    4.2358e+04    5.2882e-03       130        137
         226    2.4566e+01    9.3336e+00    4.2979e+04    5.2584e-03       132        139
         228    2.4556e+01    4.4682e+00    4.3639e+04    5.2247e-03       133        140
         230    2.4547e+01    4.4682e+00    4.3639e+04    5.2705e-03       133        140
         232    2.4544e+01    4.4682e+00    4.3639e+04    5.3163e-03       133        140
         234    2.4540e+01    4.4682e+00    4.3639e+04    5.3621e-03       133        140
         236    2.4538e+01    4.4682e+00    4.3639e+04    5.4080e-03       133        140
         238    2.4535e+01    4.4682e+00    4.3639e+04    5.4538e-03       133        141
         240    2.4521e+01    4.4682e+00    4.3977e+04    5.4574e-03       134        141
         242    2.4506e+01    4.4682e+00    4.4329e+04    5.4591e-03       135        143
         244    2.4493e+01    4.4682e+00    4.4641e+04    5.4658e-03       136        143
         246    2.4478e+01    4.4682e+00    4.4906e+04    5.4781e-03       137        145
         248    2.4465e+01    4.4682e+00    4.5259e+04    5.4796e-03       138        145
         250    2.4451e+01    4.4682e+00    4.5519e+04    5.4923e-03       139        147
         252    2.4438e+01    4.4682e+00    4.5857e+04    5.4953e-03       140        147
         254    2.4424e+01    4.4682e+00    4.6192e+04    5.4988e-03       141        149
         256    2.4411e+01    4.4682e+00    4.6557e+04    5.4987e-03       142        149
         258    2.4398e+01    4.4682e+00    4.6892e+04    5.5019e-03       143        151
         260    2.4385e+01    4.4682e+00    4.7195e+04    5.5090e-03       144        151
         262    2.4372e+01    4.4682e+00    4.7509e+04    5.5147e-03       145        153
         264    2.4360e+01    4.4682e+00    4.7842e+04    5.5182e-03       146        153
         266    2.4347e+01    4.4682e+00    4.8178e+04    5.5212e-03       147        155
         268    2.4336e+01    4.4682e+00    4.8486e+04    5.5274e-03       148        155
         270    2.4323e+01    4.4682e+00    4.8819e+04    5.5306e-03       149        157
         272    2.4312e+01    4.4682e+00    4.9145e+04    5.5346e-03       150        157
         274    2.4299e+01    4.4682e+00    4.9481e+04    5.5375e-03       151        159
         276    2.4288e+01    4.4682e+00    4.9842e+04    5.5375e-03       152        159
         278    2.4276e+01    4.4682e+00    5.0161e+04    5.5422e-03       153        161
         280    2.4265e+01    4.4682e+00    5.0463e+04    5.5486e-03       154        161
         282    2.4254e+01    4.4682e+00    5.0785e+04    5.5528e-03       155        163
         284    2.4243e+01    4.4682e+00    5.1085e+04    5.5594e-03       156        163
         286    2.4232e+01    4.4682e+00    5.1398e+04    5.5644e-03       157        165
         288    2.4221e+01    4.4682e+00    5.1729e+04    5.5674e-03       158        165
         290    2.4210e+01    4.4682e+00    5.2063e+04    5.5702e-03       159        167
         292    2.4200e+01    4.4682e+00    5.2362e+04    5.5765e-03       160        167
         294    2.4189e+01    4.4682e+00    5.2665e+04    5.5825e-03       161        169
         296    2.4179e+01    4.4682e+00    5.2977e+04    5.5874e-03       162        169
         298    2.4168e+01    4.4682e+00    5.3296e+04    5.5915e-03       163        171
         300    2.4124e+01    4.4682e+00    5.3947e+04    5.5610e-03       165        173
         302    2.4109e+01    4.4682e+00    5.4470e+04    5.5444e-03       167        175
         304    2.4101e+01    4.4682e+00    5.4805e+04    5.5470e-03       168        175
         306    2.4092e+01    4.4682e+00    5.5140e+04    5.5495e-03       169        177
         308    2.4084e+01    4.4682e+00    5.5480e+04    5.5516e-03       170        177
         310    2.4076e+01    4.4682e+00    5.5832e+04    5.5524e-03       171        179
         312    2.4063e+01    4.4682e+00    5.6488e+04    5.5233e-03       173        180
         314    2.4060e+01    4.4682e+00    5.6488e+04    5.5587e-03       173        181
         316    2.4047e+01    4.4682e+00    5.7099e+04    5.5342e-03       175        182
         318    2.4044e+01    4.4682e+00    5.7099e+04    5.5692e-03       175        183
         320    2.4031e+01    4.4682e+00    5.7717e+04    5.5443e-03       177        184
         322    2.4028e+01    4.4682e+00    5.7717e+04    5.5789e-03       177        185
         324    2.4016e+01    4.4682e+00    5.8381e+04    5.5498e-03       179        187
         326    2.4008e+01    4.4682e+00    5.8706e+04    5.5531e-03       180        187
         328    2.4000e+01    4.4682e+00    5.9003e+04    5.5590e-03       181        189
         330    2.3993e+01    4.4682e+00    5.9305e+04    5.5645e-03       182        189
         332    2.3986e+01    4.4682e+00    5.9605e+04    5.5700e-03       183        191
         334    2.3975e+01    4.4682e+00    6.0210e+04    5.5473e-03       185        192
         336    2.3971e+01    4.4682e+00    6.0210e+04    5.5805e-03       185        193
         338    2.3960e+01    4.4682e+00    6.0864e+04    5.5534e-03       187        194
         340    2.3957e+01    4.4682e+00    6.0864e+04    5.5862e-03       187        195
         342    2.3946e+01    4.4682e+00    6.1487e+04    5.5622e-03       189        197
         344    2.3939e+01    4.4682e+00    6.1828e+04    5.5638e-03       190        197
         346    2.3932e+01    4.4682e+00    6.2165e+04    5.5659e-03       191        199
         348    2.3925e+01    4.4682e+00    6.2456e+04    5.5719e-03       192        199
         350    2.3918e+01    4.4682e+00    6.2807e+04    5.5726e-03       193        201
         352    2.3908e+01    4.4682e+00    6.3433e+04    5.5492e-03       195        202
         354    2.3905e+01    4.4682e+00    6.3433e+04    5.5807e-03       195        203
         356    2.3894e+01    4.4682e+00    6.4093e+04    5.5545e-03       197        205
         358    2.3888e+01    4.4682e+00    6.4333e+04    5.5648e-03       198        205
         360    2.3881e+01    4.4682e+00    6.4630e+04    5.5701e-03       199        207
         362    2.3875e+01    4.4682e+00    6.4977e+04    5.5712e-03       200        207
         364    2.3868e+01    4.4682e+00    6.5331e+04    5.5716e-03       201        209
         366    2.3859e+01    4.4682e+00    6.6043e+04    5.5418e-03       203        210
         368    2.3856e+01    4.4682e+00    6.6043e+04    5.5721e-03       203        211
         370    2.3846e+01    4.4682e+00    6.6725e+04    5.5452e-03       205        213
         372    2.3840e+01    4.4682e+00    6.7023e+04    5.5503e-03       206        213
         374    2.3834e+01    4.4682e+00    6.7320e+04    5.5555e-03       207        215
         376    2.3825e+01    4.4682e+00    6.7952e+04    5.5333e-03       209        216
         378    2.3822e+01    4.4682e+00    6.7952e+04    5.5627e-03       209        217
         380    2.3813e+01    4.4682e+00    6.8569e+04    5.5419e-03       211        219
         382    2.3807e+01    4.4682e+00    6.8913e+04    5.5433e-03       212        219
         384    2.3801e+01    4.4682e+00    6.9213e+04    5.5481e-03       213        221
         386    2.3793e+01    4.4682e+00    6.9830e+04    5.5277e-03       215        222
         388    2.3789e+01    4.4682e+00    6.9830e+04    5.5563e-03       215        223
         390    2.3781e+01    4.4682e+00    7.0491e+04    5.5326e-03       217        225
         392    2.3775e+01    4.4682e+00    7.0845e+04    5.5332e-03       218        225
